"Year","CN","RW"
2001,"18T141",2.29
2002,"18T141",2.59
2003,"18T141",2.85
2004,"18T141",2.19
2005,"18T141",3.09
2006,"18T141",2.34
2007,"18T141",2.1
2008,"18T141",2.48
2009,"18T141",2.02
2010,"18T141",2.88
2011,"18T141",1.92
2012,"18T141",2.71
2013,"18T141",1.99
2014,"18T141",2.42
2015,"18T141",1.89
2016,"18T141",0.57
2017,"18T141",1.16
1994,"18T143",3.96
1995,"18T143",5.07
1996,"18T143",5.16
1997,"18T143",7.11
1998,"18T143",6.31
1999,"18T143",5.65
2000,"18T143",6.94
2001,"18T143",7.42
2002,"18T143",7.04
2003,"18T143",5.92
2004,"18T143",6.27
2005,"18T143",5.56
2006,"18T143",5.62
2007,"18T143",5.32
2008,"18T143",4.68
2009,"18T143",3.37
2010,"18T143",3.78
2011,"18T143",4.87
2012,"18T143",2.96
2013,"18T143",2.99
2014,"18T143",2.18
2015,"18T143",2.19
2016,"18T143",2.28
2017,"18T143",2.27
2018,"18T143",3.5
1977,"18T145",5.05
1978,"18T145",6.03
1979,"18T145",6.14
1980,"18T145",6.68
1981,"18T145",7.06
1982,"18T145",7.17
1983,"18T145",7.25
1984,"18T145",6.29
1985,"18T145",5.3
1986,"18T145",6.06
1987,"18T145",5.45
1988,"18T145",4.87
1989,"18T145",4.96
1990,"18T145",5
1991,"18T145",4.95
1992,"18T145",5.22
1993,"18T145",6.04
1994,"18T145",5.48
1995,"18T145",6.32
1996,"18T145",5.64
1997,"18T145",4.98
1998,"18T145",4.06
1999,"18T145",3.4
2000,"18T145",3.47
2001,"18T145",3.74
2002,"18T145",3.79
2003,"18T145",2.69
2004,"18T145",3.32
2005,"18T145",3.62
2006,"18T145",3.26
2007,"18T145",3.23
2008,"18T145",3.02
2009,"18T145",2.91
2010,"18T145",2.91
2011,"18T145",3.36
2012,"18T145",3.87
2013,"18T145",3.13
2014,"18T145",3.24
2015,"18T145",2.63
2016,"18T145",2.64
2017,"18T145",2.16
1800,"18T146",3.22
1801,"18T146",2.84
1802,"18T146",3.05
1803,"18T146",3.34
1804,"18T146",3.06
1805,"18T146",3.21
1806,"18T146",3.24
1807,"18T146",3.18
1808,"18T146",2.32
1809,"18T146",2.34
1810,"18T146",2.46
1811,"18T146",2.09
1812,"18T146",1.99
1813,"18T146",2.28
1814,"18T146",2.62
1815,"18T146",2.34
1816,"18T146",2.42
1817,"18T146",2.06
1818,"18T146",2.5
1819,"18T146",2.37
1820,"18T146",1.99
1821,"18T146",2.14
1822,"18T146",2.53
1823,"18T146",1.89
1824,"18T146",1.77
1825,"18T146",2.06
1826,"18T146",1.6
1827,"18T146",1.27
1828,"18T146",1.44
1829,"18T146",1.86
1830,"18T146",1.58
1831,"18T146",1.44
1832,"18T146",1.57
1833,"18T146",2.16
1834,"18T146",1.84
1835,"18T146",2.09
1836,"18T146",1.86
1837,"18T146",1.67
1838,"18T146",1.84
1839,"18T146",1.93
1840,"18T146",1.46
1841,"18T146",1.54
1842,"18T146",1.23
1843,"18T146",1.54
1844,"18T146",1.73
1845,"18T146",1.85
1846,"18T146",2.01
1847,"18T146",1.15
1848,"18T146",1.7
1849,"18T146",1.08
1850,"18T146",1.49
1851,"18T146",1.95
1852,"18T146",1.62
1853,"18T146",1.48
1854,"18T146",1.32
1855,"18T146",1.74
1856,"18T146",1.43
1857,"18T146",1.93
1858,"18T146",2.12
1859,"18T146",1.64
1860,"18T146",1.97
1861,"18T146",2.04
1862,"18T146",1.68
1863,"18T146",1.8
1864,"18T146",1.54
1865,"18T146",1.48
1866,"18T146",1.37
1867,"18T146",1.73
1868,"18T146",1.71
1869,"18T146",1.61
1870,"18T146",1.34
1871,"18T146",1.24
1872,"18T146",1.03
1873,"18T146",1.25
1874,"18T146",1.25
1875,"18T146",1.24
1876,"18T146",1
1877,"18T146",1.35
1878,"18T146",1.44
1879,"18T146",1.41
1880,"18T146",1.09
1881,"18T146",1.51
1882,"18T146",1.37
1883,"18T146",1.02
1884,"18T146",1.12
1885,"18T146",0.97
1886,"18T146",1.17
1887,"18T146",0.85
1888,"18T146",1.35
1889,"18T146",1.47
1890,"18T146",1.25
1891,"18T146",1.5
1892,"18T146",1.36
1893,"18T146",1.32
1894,"18T146",1.2
1895,"18T146",1.05
1896,"18T146",1.05
1897,"18T146",0.9
1898,"18T146",0.99
1899,"18T146",1.04
1900,"18T146",1.28
1901,"18T146",1.36
1902,"18T146",1.21
1903,"18T146",1.16
1904,"18T146",1.46
1905,"18T146",1.1
1906,"18T146",0.86
1907,"18T146",0.93
1908,"18T146",0.84
1909,"18T146",0.96
1910,"18T146",0.68
1911,"18T146",0.84
1912,"18T146",0.97
1913,"18T146",1.01
1914,"18T146",1.09
1915,"18T146",1.01
1916,"18T146",0.88
1917,"18T146",0.89
1918,"18T146",0.82
1919,"18T146",0.97
1920,"18T146",1.08
1921,"18T146",0.93
1922,"18T146",0.73
1923,"18T146",0.8
1924,"18T146",0.82
1925,"18T146",0.87
1926,"18T146",0.86
1927,"18T146",0.8
1928,"18T146",0.9
1929,"18T146",0.83
1930,"18T146",0.85
1931,"18T146",1.08
1932,"18T146",1.03
1933,"18T146",0.92
1934,"18T146",0.84
1935,"18T146",1.05
1936,"18T146",0.99
1937,"18T146",0.75
1938,"18T146",1.02
1939,"18T146",0.77
1940,"18T146",0.71
1941,"18T146",1.02
1942,"18T146",0.86
1943,"18T146",0.72
1944,"18T146",0.89
1945,"18T146",0.71
1946,"18T146",0.64
1947,"18T146",0.58
1948,"18T146",0.74
1949,"18T146",1.42
1950,"18T146",1.51
1951,"18T146",0.93
1952,"18T146",0.77
1953,"18T146",0.64
1954,"18T146",0.92
1955,"18T146",0.93
1956,"18T146",0.61
1957,"18T146",0.74
1958,"18T146",0.91
1959,"18T146",0.73
1960,"18T146",0.79
1961,"18T146",1.07
1962,"18T146",0.76
1963,"18T146",1.04
1964,"18T146",0.95
1965,"18T146",0.9
1966,"18T146",1.03
1967,"18T146",1.03
1968,"18T146",0.89
1969,"18T146",0.8
1970,"18T146",1.38
1971,"18T146",1.05
1972,"18T146",1.06
1973,"18T146",1.13
1974,"18T146",0.84
1975,"18T146",0.85
1976,"18T146",0.82
1977,"18T146",0.91
1978,"18T146",0.72
1979,"18T146",0.7
1980,"18T146",0.72
1981,"18T146",0.94
1982,"18T146",0.95
1983,"18T146",1.21
1984,"18T146",1.38
1985,"18T146",1.17
1986,"18T146",1.11
1987,"18T146",1.17
1988,"18T146",0.99
1989,"18T146",0.87
1990,"18T146",1.19
1991,"18T146",0.83
1992,"18T146",1.07
1993,"18T146",0.82
1994,"18T146",1.25
1995,"18T146",0.9
1996,"18T146",1.22
1997,"18T146",1.09
1998,"18T146",1.15
1999,"18T146",0.84
2000,"18T146",0.91
2001,"18T146",1.07
2002,"18T146",1.05
2003,"18T146",0.9
2004,"18T146",0.98
2005,"18T146",1.09
2006,"18T146",1.04
2007,"18T146",1.29
2008,"18T146",1.28
2009,"18T146",1.04
2010,"18T146",1.26
2011,"18T146",1.2
2012,"18T146",1.15
2013,"18T146",1.14
2014,"18T146",1.2
2015,"18T146",1.11
2016,"18T146",0.98
2017,"18T146",0.88
1983,"18T147",3.85
1984,"18T147",5.41
1985,"18T147",5.81
1986,"18T147",7.2
1987,"18T147",8.01
1988,"18T147",7.73
1989,"18T147",7.65
1990,"18T147",8.9
1991,"18T147",7.79
1992,"18T147",9.17
1993,"18T147",9.92
1994,"18T147",8.51
1995,"18T147",7.14
1996,"18T147",8.8
1997,"18T147",7.83
1998,"18T147",8.13
1999,"18T147",6.07
2000,"18T147",5.92
2001,"18T147",5.91
2002,"18T147",7.26
2003,"18T147",5.27
2004,"18T147",6.13
2005,"18T147",6.53
2006,"18T147",6.08
2007,"18T147",6.26
2008,"18T147",6
2009,"18T147",5.48
2010,"18T147",5.43
2011,"18T147",6.37
2012,"18T147",6.04
2013,"18T147",4.09
2014,"18T147",3.88
2015,"18T147",3.5
2016,"18T147",3.21
2017,"18T147",3.38
1947,"18T149",9.66
1948,"18T149",9.76
1949,"18T149",5.43
1950,"18T149",6.66
1951,"18T149",6.45
1952,"18T149",7.02
1953,"18T149",7.1
1954,"18T149",7.64
1955,"18T149",6.21
1956,"18T149",5.78
1957,"18T149",7.14
1958,"18T149",6.8
1959,"18T149",5.67
1960,"18T149",7.08
1961,"18T149",7.38
1962,"18T149",6.73
1963,"18T149",7.79
1964,"18T149",6.02
1965,"18T149",5.65
1966,"18T149",4.99
1967,"18T149",4.9
1968,"18T149",4.58
1969,"18T149",3.77
1970,"18T149",4.1
1971,"18T149",4.12
1972,"18T149",3.07
1973,"18T149",3.22
1974,"18T149",3.84
1975,"18T149",3.96
1976,"18T149",3.82
1977,"18T149",3.86
1978,"18T149",4.08
1979,"18T149",3.03
1980,"18T149",3.92
1981,"18T149",3.99
1982,"18T149",3.51
1983,"18T149",3.56
1984,"18T149",3.04
1985,"18T149",3.21
1986,"18T149",2.66
1987,"18T149",2.89
1988,"18T149",3.49
1989,"18T149",3.07
1990,"18T149",4.92
1991,"18T149",3.26
1992,"18T149",4.31
1993,"18T149",4.14
1994,"18T149",4.07
1995,"18T149",3.63
1996,"18T149",3.77
1997,"18T149",4.8
1998,"18T149",3.91
1999,"18T149",2.54
2000,"18T149",3.18
2001,"18T149",3.83
2002,"18T149",3.06
2003,"18T149",3.23
2004,"18T149",3.02
2005,"18T149",3.09
2006,"18T149",2.95
2007,"18T149",3.33
2008,"18T149",3.25
2009,"18T149",3.29
2010,"18T149",3.74
2011,"18T149",3.68
2012,"18T149",3.98
2013,"18T149",4.38
2014,"18T149",5.27
2015,"18T149",4.49
2016,"18T149",3.76
2017,"18T149",3.49
1642,"18T151",2.04
1643,"18T151",1.37
1644,"18T151",1.66
1645,"18T151",1.59
1646,"18T151",1.75
1647,"18T151",1.62
1648,"18T151",1.28
1649,"18T151",1.87
1650,"18T151",1.83
1651,"18T151",1.52
1652,"18T151",1.24
1653,"18T151",0.81
1654,"18T151",1.09
1655,"18T151",1.54
1656,"18T151",1.54
1657,"18T151",1.28
1658,"18T151",1.34
1659,"18T151",1.18
1660,"18T151",1.44
1661,"18T151",1.42
1662,"18T151",1.11
1663,"18T151",1.41
1664,"18T151",1.54
1665,"18T151",1.17
1666,"18T151",1.25
1667,"18T151",1.31
1668,"18T151",1.06
1669,"18T151",1.43
1670,"18T151",1.4
1671,"18T151",1.29
1672,"18T151",1.28
1673,"18T151",1.29
1674,"18T151",1.31
1675,"18T151",1.33
1676,"18T151",1.02
1677,"18T151",0.92
1678,"18T151",1.1
1679,"18T151",1.15
1680,"18T151",0.91
1681,"18T151",1.02
1682,"18T151",1
1683,"18T151",0.64
1684,"18T151",0.88
1685,"18T151",0.8
1686,"18T151",0.99
1687,"18T151",0.98
1688,"18T151",0.82
1689,"18T151",0.91
1690,"18T151",0.83
1691,"18T151",0.62
1692,"18T151",0.73
1693,"18T151",0.89
1694,"18T151",0.84
1695,"18T151",0.92
1696,"18T151",0.83
1697,"18T151",1.04
1698,"18T151",0.99
1699,"18T151",1
1700,"18T151",0.87
1701,"18T151",0.68
1702,"18T151",0.84
1703,"18T151",0.77
1704,"18T151",0.68
1705,"18T151",0.73
1706,"18T151",0.88
1707,"18T151",0.7
1708,"18T151",0.63
1709,"18T151",0.7
1710,"18T151",0.8
1711,"18T151",0.96
1712,"18T151",0.97
1713,"18T151",0.86
1714,"18T151",0.94
1715,"18T151",0.96
1716,"18T151",1.07
1717,"18T151",0.77
1718,"18T151",0.77
1719,"18T151",0.91
1720,"18T151",0.96
1721,"18T151",0.97
1722,"18T151",0.85
1723,"18T151",0.73
1724,"18T151",0.79
1725,"18T151",0.78
1726,"18T151",0.97
1727,"18T151",0.78
1728,"18T151",0.62
1729,"18T151",0.7
1730,"18T151",0.68
1731,"18T151",0.71
1732,"18T151",0.69
1733,"18T151",0.71
1734,"18T151",0.76
1735,"18T151",0.75
1736,"18T151",0.62
1737,"18T151",0.56
1738,"18T151",0.69
1739,"18T151",0.61
1740,"18T151",0.48
1741,"18T151",0.5
1742,"18T151",0.42
1743,"18T151",0.49
1744,"18T151",0.52
1745,"18T151",0.61
1746,"18T151",0.47
1747,"18T151",0.5
1748,"18T151",0.41
1749,"18T151",0.39
1750,"18T151",0.6
1751,"18T151",0.47
1752,"18T151",0.46
1753,"18T151",0.45
1754,"18T151",0.27
1755,"18T151",0.38
1756,"18T151",0.39
1757,"18T151",0.42
1758,"18T151",0.45
1759,"18T151",0.37
1760,"18T151",0.39
1761,"18T151",0.6
1762,"18T151",0.48
1763,"18T151",0.59
1764,"18T151",0.56
1765,"18T151",0.46
1766,"18T151",0.46
1767,"18T151",0.49
1768,"18T151",0.82
1769,"18T151",0.7
1770,"18T151",0.63
1771,"18T151",0.74
1772,"18T151",0.55
1773,"18T151",0.72
1774,"18T151",0.64
1775,"18T151",0.59
1776,"18T151",0.59
1777,"18T151",0.78
1778,"18T151",0.7
1779,"18T151",0.68
1780,"18T151",0.73
1781,"18T151",0.68
1782,"18T151",0.53
1783,"18T151",0.62
1784,"18T151",0.59
1785,"18T151",0.57
1786,"18T151",0.77
1787,"18T151",0.59
1788,"18T151",0.79
1789,"18T151",0.96
1790,"18T151",0.94
1791,"18T151",0.97
1792,"18T151",0.61
1793,"18T151",0.72
1794,"18T151",0.76
1795,"18T151",0.77
1796,"18T151",0.55
1797,"18T151",0.57
1798,"18T151",0.88
1799,"18T151",0.61
1800,"18T151",0.67
1801,"18T151",0.64
1802,"18T151",0.78
1803,"18T151",0.69
1804,"18T151",0.68
1805,"18T151",0.79
1806,"18T151",0.77
1807,"18T151",0.91
1808,"18T151",0.75
1809,"18T151",0.6
1810,"18T151",0.75
1811,"18T151",0.66
1812,"18T151",0.64
1813,"18T151",0.58
1814,"18T151",0.63
1815,"18T151",0.68
1816,"18T151",0.7
1817,"18T151",0.93
1818,"18T151",0.91
1819,"18T151",0.79
1820,"18T151",0.92
1821,"18T151",1.22
1822,"18T151",1.52
1823,"18T151",1.04
1824,"18T151",0.75
1825,"18T151",1.04
1826,"18T151",1.02
1827,"18T151",0.65
1828,"18T151",0.71
1829,"18T151",0.82
1830,"18T151",0.73
1831,"18T151",0.72
1832,"18T151",0.65
1833,"18T151",0.72
1834,"18T151",0.89
1835,"18T151",0.74
1836,"18T151",0.61
1837,"18T151",0.62
1838,"18T151",0.65
1839,"18T151",0.72
1840,"18T151",0.67
1841,"18T151",0.81
1842,"18T151",0.53
1843,"18T151",0.76
1844,"18T151",0.66
1845,"18T151",0.75
1846,"18T151",0.77
1847,"18T151",0.52
1848,"18T151",0.53
1849,"18T151",0.4
1850,"18T151",0.49
1851,"18T151",0.68
1852,"18T151",0.66
1853,"18T151",0.68
1854,"18T151",0.69
1855,"18T151",0.8
1856,"18T151",0.62
1857,"18T151",0.71
1858,"18T151",0.74
1859,"18T151",0.61
1860,"18T151",0.71
1861,"18T151",0.73
1862,"18T151",0.64
1863,"18T151",0.76
1864,"18T151",0.53
1865,"18T151",0.65
1866,"18T151",0.76
1867,"18T151",0.64
1868,"18T151",0.72
1869,"18T151",0.74
1870,"18T151",0.81
1871,"18T151",0.65
1872,"18T151",0.64
1873,"18T151",0.77
1874,"18T151",0.76
1875,"18T151",0.8
1876,"18T151",0.52
1877,"18T151",0.79
1878,"18T151",0.69
1879,"18T151",0.7
1880,"18T151",0.46
1881,"18T151",0.56
1882,"18T151",0.64
1883,"18T151",0.51
1884,"18T151",0.51
1885,"18T151",0.51
1886,"18T151",0.38
1887,"18T151",0.37
1888,"18T151",0.35
1889,"18T151",0.46
1890,"18T151",0.45
1891,"18T151",0.58
1892,"18T151",0.49
1893,"18T151",0.52
1894,"18T151",0.56
1895,"18T151",0.43
1896,"18T151",0.45
1897,"18T151",0.35
1898,"18T151",0.36
1899,"18T151",0.31
1900,"18T151",0.38
1901,"18T151",0.42
1902,"18T151",0.43
1903,"18T151",0.38
1904,"18T151",0.54
1905,"18T151",0.44
1906,"18T151",0.38
1907,"18T151",0.34
1908,"18T151",0.4
1909,"18T151",0.37
1910,"18T151",0.25
1911,"18T151",0.32
1912,"18T151",0.36
1913,"18T151",0.41
1914,"18T151",0.35
1915,"18T151",0.4
1916,"18T151",0.35
1917,"18T151",0.41
1918,"18T151",0.29
1919,"18T151",0.31
1920,"18T151",0.38
1921,"18T151",0.34
1922,"18T151",0.34
1923,"18T151",0.35
1924,"18T151",0.28
1925,"18T151",0.35
1926,"18T151",0.4
1927,"18T151",0.39
1928,"18T151",0.43
1929,"18T151",0.38
1930,"18T151",0.39
1931,"18T151",0.48
1932,"18T151",0.36
1933,"18T151",0.43
1934,"18T151",0.44
1935,"18T151",0.38
1936,"18T151",0.26
1937,"18T151",0.3
1938,"18T151",0.45
1939,"18T151",0.34
1940,"18T151",0.39
1941,"18T151",0.39
1942,"18T151",0.42
1943,"18T151",0.34
1944,"18T151",0.42
1945,"18T151",0.36
1946,"18T151",0.46
1947,"18T151",0.38
1948,"18T151",0.57
1949,"18T151",0.34
1950,"18T151",0.59
1951,"18T151",0.59
1952,"18T151",0.53
1953,"18T151",0.42
1954,"18T151",0.51
1955,"18T151",0.6
1956,"18T151",0.51
1957,"18T151",0.6
1958,"18T151",0.76
1959,"18T151",0.39
1960,"18T151",0.49
1961,"18T151",0.46
1962,"18T151",0.42
1963,"18T151",0.61
1964,"18T151",0.55
1965,"18T151",0.64
1966,"18T151",0.64
1967,"18T151",0.53
1968,"18T151",0.34
1969,"18T151",0.37
1970,"18T151",0.54
1971,"18T151",0.37
1972,"18T151",0.41
1973,"18T151",0.44
1974,"18T151",0.37
1975,"18T151",0.38
1976,"18T151",0.49
1977,"18T151",0.54
1978,"18T151",0.47
1979,"18T151",0.57
1980,"18T151",0.57
1981,"18T151",0.67
1982,"18T151",0.61
1983,"18T151",0.68
1984,"18T151",0.75
1985,"18T151",0.5
1986,"18T151",0.7
1987,"18T151",0.7
1988,"18T151",0.58
1989,"18T151",0.5
1990,"18T151",0.8
1991,"18T151",0.42
1992,"18T151",0.52
1993,"18T151",0.53
1994,"18T151",0.55
1995,"18T151",0.4
1996,"18T151",0.6
1997,"18T151",0.47
1998,"18T151",0.51
1999,"18T151",0.42
2000,"18T151",0.61
2001,"18T151",0.6
2002,"18T151",0.62
2003,"18T151",0.47
2004,"18T151",0.52
2005,"18T151",0.68
2006,"18T151",0.46
2007,"18T151",0.53
2008,"18T151",0.66
2009,"18T151",0.52
2010,"18T151",0.57
2011,"18T151",0.62
2012,"18T151",0.64
2013,"18T151",0.6
2014,"18T151",0.71
2015,"18T151",0.57
2016,"18T151",0.58
2017,"18T151",0.62
1954,"18T153",0.71
1955,"18T153",3.54
1956,"18T153",2.41
1957,"18T153",0.92
1958,"18T153",0.59
1959,"18T153",0.79
1960,"18T153",1.08
1961,"18T153",3.57
1962,"18T153",4.39
1963,"18T153",6.19
1964,"18T153",7
1965,"18T153",5.41
1966,"18T153",5.7
1967,"18T153",5.76
1968,"18T153",4.62
1969,"18T153",4.31
1970,"18T153",4.66
1971,"18T153",6.22
1972,"18T153",4.8
1973,"18T153",4.71
1974,"18T153",5.75
1975,"18T153",4.06
1976,"18T153",6.59
1977,"18T153",5
1978,"18T153",5.3
1979,"18T153",5.13
1980,"18T153",7.17
1981,"18T153",6.85
1982,"18T153",6.12
1983,"18T153",4.69
1984,"18T153",3.15
1985,"18T153",4.11
1986,"18T153",3.32
1987,"18T153",3.36
1988,"18T153",6.27
1989,"18T153",4.13
1990,"18T153",4.57
1991,"18T153",6.2
1992,"18T153",3.95
1993,"18T153",4.72
1994,"18T153",3.17
1995,"18T153",3.23
1996,"18T153",3.28
1997,"18T153",3.16
1998,"18T153",3.71
1999,"18T153",2.37
2000,"18T153",3.07
2001,"18T153",2.5
2002,"18T153",3.15
2003,"18T153",2.81
2004,"18T153",2.69
2005,"18T153",3.78
2006,"18T153",2.92
2007,"18T153",2.54
2008,"18T153",1.64
2009,"18T153",3.15
2010,"18T153",2.9
2011,"18T153",3.73
2012,"18T153",3.05
2013,"18T153",2.92
2014,"18T153",2.3
2015,"18T153",2.56
2016,"18T153",2.16
2017,"18T153",3.24
1967,"18T162",8.65
1968,"18T162",11.16
1969,"18T162",10.07
1970,"18T162",10.29
1971,"18T162",12.34
1972,"18T162",10.54
1973,"18T162",10.44
1974,"18T162",11.16
1975,"18T162",10.06
1976,"18T162",10.12
1977,"18T162",10.05
1978,"18T162",8.33
1979,"18T162",8.63
1980,"18T162",8.5
1981,"18T162",9.64
1982,"18T162",6.22
1983,"18T162",8.89
1984,"18T162",7.14
1985,"18T162",6.43
1986,"18T162",6.05
1987,"18T162",7.2
1988,"18T162",5.55
1989,"18T162",5.19
1990,"18T162",5.2
1991,"18T162",5.26
1992,"18T162",4.91
1993,"18T162",5.3
1994,"18T162",4.97
1995,"18T162",3.57
1996,"18T162",3.46
1997,"18T162",3.53
1998,"18T162",2.9
1999,"18T162",3.08
2000,"18T162",3.09
2001,"18T162",3.45
2002,"18T162",3.58
2003,"18T162",3.98
2004,"18T162",3.47
2005,"18T162",3.35
2006,"18T162",3.54
2007,"18T162",3.19
2008,"18T162",3.58
2009,"18T162",3.09
2010,"18T162",3.51
2011,"18T162",3.23
2012,"18T162",4.47
2013,"18T162",4.17
2014,"18T162",4.02
2015,"18T162",4.09
2016,"18T162",4.22
2017,"18T162",3.72
1937,"18T164",8.01
1938,"18T164",8.39
1939,"18T164",8.58
1940,"18T164",9.14
1941,"18T164",9.27
1942,"18T164",7.11
1943,"18T164",5.09
1944,"18T164",5.87
1945,"18T164",5.17
1946,"18T164",4.82
1947,"18T164",4.96
1948,"18T164",4.17
1949,"18T164",4.08
1950,"18T164",4.24
1951,"18T164",2.46
1952,"18T164",2.91
1953,"18T164",2.76
1954,"18T164",3.16
1955,"18T164",3.26
1956,"18T164",1.93
1957,"18T164",2.54
1958,"18T164",2.57
1959,"18T164",1.9
1960,"18T164",2.85
1961,"18T164",2.53
1962,"18T164",3.26
1963,"18T164",4.17
1964,"18T164",3.17
1965,"18T164",3.79
1966,"18T164",3.47
1967,"18T164",3.3
1968,"18T164",3.49
1969,"18T164",4.23
1970,"18T164",3.88
1971,"18T164",2.82
1972,"18T164",2.4
1973,"18T164",2.47
1974,"18T164",2.9
1975,"18T164",4.23
1976,"18T164",5.22
1977,"18T164",5.4
1978,"18T164",4.51
1979,"18T164",2.55
1980,"18T164",2.62
1981,"18T164",2.48
1982,"18T164",2.11
1983,"18T164",2.16
1984,"18T164",2.14
1985,"18T164",3.77
1986,"18T164",4.68
1987,"18T164",6.06
1988,"18T164",5.08
1989,"18T164",4.35
1990,"18T164",5.2
1991,"18T164",3.74
1992,"18T164",3.86
1993,"18T164",3.97
1994,"18T164",4.22
1995,"18T164",4.33
1996,"18T164",3.26
1997,"18T164",3.18
1998,"18T164",3.13
1999,"18T164",3.12
2000,"18T164",3.86
2001,"18T164",4.37
2002,"18T164",4.3
2003,"18T164",3.57
2004,"18T164",3.57
2005,"18T164",5.41
2006,"18T164",4.92
2007,"18T164",4.82
2008,"18T164",5.12
2009,"18T164",4.63
2010,"18T164",5.46
2011,"18T164",5.28
2012,"18T164",4.69
2013,"18T164",2.9
2014,"18T164",2.42
2015,"18T164",1.91
2016,"18T164",2.48
2017,"18T164",3.53
1908,"18T165",1.74
1909,"18T165",1.88
1910,"18T165",2.43
1911,"18T165",2.92
1912,"18T165",3.33
1913,"18T165",3.77
1914,"18T165",2.49
1915,"18T165",2.75
1916,"18T165",2.89
1917,"18T165",4.03
1918,"18T165",2.96
1919,"18T165",3.28
1920,"18T165",3.33
1921,"18T165",3.13
1922,"18T165",2.66
1923,"18T165",2.39
1924,"18T165",2.53
1925,"18T165",1.71
1926,"18T165",1.55
1927,"18T165",1.12
1928,"18T165",1.76
1929,"18T165",2.12
1930,"18T165",1.56
1931,"18T165",2.27
1932,"18T165",1.58
1933,"18T165",1.2
1934,"18T165",1.28
1935,"18T165",1.27
1936,"18T165",1.97
1937,"18T165",2.29
1938,"18T165",2.5
1939,"18T165",2
1940,"18T165",2.27
1941,"18T165",2.48
1942,"18T165",1.3
1943,"18T165",1.69
1944,"18T165",2.22
1945,"18T165",3.13
1946,"18T165",3.03
1947,"18T165",2.09
1948,"18T165",2.72
1949,"18T165",2.09
1950,"18T165",2.09
1951,"18T165",1.95
1952,"18T165",2.06
1953,"18T165",1.96
1954,"18T165",2.14
1955,"18T165",2.88
1956,"18T165",2.52
1957,"18T165",2.88
1958,"18T165",2.44
1959,"18T165",1
1960,"18T165",1.51
1961,"18T165",2.03
1962,"18T165",2.46
1963,"18T165",2.99
1964,"18T165",3.17
1965,"18T165",3
1966,"18T165",2.08
1967,"18T165",2.54
1968,"18T165",2.13
1969,"18T165",1.89
1970,"18T165",2.46
1971,"18T165",2.14
1972,"18T165",1.61
1973,"18T165",1.15
1974,"18T165",1.45
1975,"18T165",1.47
1976,"18T165",1.68
1977,"18T165",2.87
1978,"18T165",2.94
1979,"18T165",3.15
1980,"18T165",2.95
1981,"18T165",2.98
1982,"18T165",1.56
1983,"18T165",2.03
1984,"18T165",1.08
1985,"18T165",1.2
1986,"18T165",1.25
1987,"18T165",2.26
1988,"18T165",3.18
1989,"18T165",1.49
1990,"18T165",2.8
1991,"18T165",2.1
1992,"18T165",3.74
1993,"18T165",1.97
1994,"18T165",3.1
1995,"18T165",2.52
1996,"18T165",3.73
1997,"18T165",4.45
1998,"18T165",2.86
1999,"18T165",3.38
2000,"18T165",3.15
2001,"18T165",2.96
2002,"18T165",4.98
2003,"18T165",3.27
2004,"18T165",3.44
2005,"18T165",2.28
2006,"18T165",2.32
2007,"18T165",2.29
2008,"18T165",2.82
2009,"18T165",3.13
2010,"18T165",2.73
2011,"18T165",3.78
2012,"18T165",3
2013,"18T165",3.09
2014,"18T165",3.82
2015,"18T165",1.8
2016,"18T165",2.5
2017,"18T165",3.3
1943,"18T169",2.79
1944,"18T169",2.45
1945,"18T169",2.26
1946,"18T169",2.45
1947,"18T169",2.48
1948,"18T169",3.15
1949,"18T169",2.21
1950,"18T169",2.21
1951,"18T169",1.88
1952,"18T169",1.85
1953,"18T169",1.69
1954,"18T169",1.9
1955,"18T169",1.97
1956,"18T169",1.72
1957,"18T169",1.82
1958,"18T169",1.89
1959,"18T169",2.19
1960,"18T169",1.8
1961,"18T169",2.07
1962,"18T169",1.92
1963,"18T169",2.36
1964,"18T169",1.2
1965,"18T169",1.6
1966,"18T169",1.9
1967,"18T169",1.78
1968,"18T169",1.25
1969,"18T169",1.41
1970,"18T169",1.19
1971,"18T169",1.22
1972,"18T169",1.22
1973,"18T169",1.27
1974,"18T169",1.36
1975,"18T169",1.29
1976,"18T169",1.16
1977,"18T169",1.31
1978,"18T169",1.27
1979,"18T169",1.27
1980,"18T169",1.49
1981,"18T169",1.6
1982,"18T169",1.42
1983,"18T169",1.4
1984,"18T169",1.25
1985,"18T169",1.38
1986,"18T169",1.33
1987,"18T169",1.27
1988,"18T169",1.57
1989,"18T169",1.41
1990,"18T169",1.54
1991,"18T169",1.25
1992,"18T169",1.2
1993,"18T169",0.89
1994,"18T169",0.87
1995,"18T169",0.9
1996,"18T169",1.42
1997,"18T169",1.59
1998,"18T169",1.53
1999,"18T169",1.35
2000,"18T169",1.65
2001,"18T169",1.48
2002,"18T169",1.74
2003,"18T169",0.88
2004,"18T169",0.62
2005,"18T169",1.75
2006,"18T169",2.24
2007,"18T169",2.41
2008,"18T169",1.86
2009,"18T169",1.26
2010,"18T169",1.29
2011,"18T169",1.94
2012,"18T169",2.37
2013,"18T169",2.28
2014,"18T169",2.19
2015,"18T169",3.53
2016,"18T169",2.76
2017,"18T169",2.52
1959,"18T37",2.91
1960,"18T37",3.42
1961,"18T37",3.73
